run_label,checkpoint_name,checkpoint_update,checkpoint_env_steps,episodes,goal_rate,mean_goal_count,mean_pass_count,mean_pass_to_shot_count,mean_assist_count,mean_same_owner_possession_length,mean_episode_return,mean_episode_length
5M,update_001150.pt,1150,1840000,20,0.0,0.0,0.0,0.0,0.0,47.55,0.015405749985802686,53.0
5M,update_001200.pt,1200,1920000,20,0.0,0.0,0.0,0.0,0.0,4.0,0.014273993256210815,23.95
5M,update_001250.pt,1250,2000000,20,0.0,0.0,0.0,0.0,0.0,3.95,-0.0344635946339622,33.15
5M,update_001300.pt,1300,2080000,20,0.0,0.0,0.0,0.0,0.0,397.0,0.0007119254793451546,401.0
5M,update_001350.pt,1350,2160000,20,0.0,0.0,0.0,0.0,0.0,4.0,0.011993180856006803,23.1
5M,update_001400.pt,1400,2240000,20,0.0,0.0,0.0,0.0,0.0,46.3,0.01566363598312819,56.45
5M,update_001450.pt,1450,2320000,20,0.0,0.0,0.0,0.0,0.0,3.4,-0.032485855969753175,59.5
5M,update_001500.pt,1500,2400000,20,0.0,0.0,0.0,0.0,0.0,3.95,-0.034357678960441264,34.25
5M,update_001550.pt,1550,2480000,20,0.0,0.0,0.0,0.0,0.0,3.7,-0.0364136732286056,53.5
5M,update_001600.pt,1600,2560000,20,0.0,0.0,0.15,0.0,0.0,5.130635369532429,0.00010862203851900177,198.9
5M,update_001650.pt,1650,2640000,20,0.0,0.0,0.0,0.0,0.0,31.0,0.00017051115837602994,36.0
5M,update_001700.pt,1700,2720000,20,0.0,0.0,0.0,0.0,0.0,64.45,0.0005420885972153399,69.55
5M,update_001750.pt,1750,2800000,20,0.0,0.0,0.2,0.0,0.0,4.888403263403264,0.023495396299998104,155.95
5M,update_001800.pt,1800,2880000,20,0.0,0.0,0.0,0.0,0.0,35.65,0.015477926424864563,40.8
5M,update_001850.pt,1850,2960000,20,0.0,0.0,0.0,0.0,0.0,396.65,1.0380893922956602e-05,401.0
5M,update_001900.pt,1900,3040000,20,0.0,0.0,0.0,0.0,0.0,3.65,-0.0348191297838639,30.6
5M,update_001950.pt,1950,3120000,20,0.0,0.0,0.0,0.0,0.0,4.1,0.012056306287377083,22.2
5M,update_002000.pt,2000,3200000,20,0.0,0.0,0.0,0.0,0.0,4.1,0.012979130417022589,26.05
5M,update_002050.pt,2050,3280000,20,0.0,0.0,0.0,0.0,0.0,4.05,0.011602620925259544,22.4
5M,update_002100.pt,2100,3360000,20,0.0,0.0,0.0,0.0,0.0,396.75,1.0218173256326679e-05,401.0
5M,update_002150.pt,2150,3440000,20,0.0,0.0,0.0,0.0,0.0,4.0,0.014797230499971193,26.1
5M,update_002200.pt,2200,3520000,20,0.0,0.0,0.0,0.0,0.0,37.2,0.01114373518321372,42.2
5M,update_002250.pt,2250,3600000,20,0.0,0.0,0.0,0.0,0.0,37.15,0.0110448781739251,42.15
5M,update_002300.pt,2300,3680000,20,0.0,0.0,0.0,0.0,0.0,34.2,0.01541623087869084,39.25
5M,update_002350.pt,2350,3760000,20,0.0,0.0,0.05,0.0,0.0,4.095833333333333,0.019336491939696998,96.6
5M,update_002400.pt,2400,3840000,20,0.0,0.0,0.05,0.0,0.0,3.6750000000000007,0.009393415450598751,57.5
5M,update_002450.pt,2450,3920000,20,0.0,0.0,0.0,0.0,0.0,31.0,0.00017067015371026174,36.0
5M,update_002500.pt,2500,4000000,20,0.0,0.0,0.0,0.0,0.0,37.15,0.01113132712780498,42.15
5M,update_002550.pt,2550,4080000,20,0.0,0.0,0.0,0.0,0.0,35.95,0.01548520087126235,40.95
5M,update_002600.pt,2600,4160000,20,0.0,0.0,0.0,0.0,0.0,396.7,1.0221451539660364e-05,401.0
5M,update_002650.pt,2650,4240000,20,0.0,0.0,0.0,0.0,0.0,396.75,1.0555386535937572e-05,401.0
5M,update_002700.pt,2700,4320000,20,0.0,0.0,0.0,0.0,0.0,396.85,1.0554045424626679e-05,401.0
5M,update_002750.pt,2750,4400000,20,0.0,0.0,0.0,0.0,0.0,396.75,1.0380446826729895e-05,401.0
5M,update_002800.pt,2800,4480000,20,0.0,0.0,0.1,0.0,0.0,3.525,0.015514893253555328,79.75
5M,update_002850.pt,2850,4560000,20,0.0,0.0,0.0,0.0,0.0,4.1,0.01290571394545168,26.75
5M,update_002900.pt,2900,4640000,20,0.0,0.0,0.0,0.0,0.0,4.1,0.012274109864438287,22.7
5M,update_002950.pt,2950,4720000,20,0.0,0.0,0.0,0.0,0.0,46.0,0.015524233544510935,53.2
5M,update_003000.pt,3000,4800000,20,0.0,0.0,0.0,0.0,0.0,35.8,0.015494082263830932,40.9
5M,update_003050.pt,3050,4880000,20,0.0,0.0,0.0,0.0,0.0,396.8,1.0465979602258813e-05,401.0
5M,update_003100.pt,3100,4960000,20,0.0,0.0,0.0,0.0,0.0,34.3,0.015413936681943597,39.4
5M,update_003125.pt,3125,5000000,20,0.0,0.0,0.0,0.0,0.0,396.75,1.0470449859667497e-05,401.0
